"url","Image","Image_alt","Title link","Title link_link","Venue value","Time value"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/b7d8fd2434052138cc5ca48753c51693","Yaala Ballin Jazz Vocal Workshop","Yaala Ballin Jazz Vocal Workshop","http://allevents.in/egkomi/yaala-ballin-jazz-vocal-workshop/1732547550366984","University of Nicosia, Research and Technology Building, Egkomi, Cipru","Jul 01"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/f65688acc919252ecb3bbe413a2e52d5","Echo Presents Vagia Thursday 30 June Starts at 2200","Echo Presents Vagia Thursday 30 June Starts at 22:00","http://allevents.in/nicosia/echo-presents-vagia-thursday-30-june-starts-at-22-00/243469029371330","Echo, Leoforos Evagorou A. 9, Nicosia, Cyprus, Nicosia, Cyprus","Jun 30"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/e3e23728e4ae873cd8e98ad2674d88b2","Dimitris Mylis - Live Acoustic","Dimitris Mylis - Live Acoustic","http://allevents.in/nicosia/dimitris-mylis-live-acoustic/183375045397931","Neverland Rock Bar, 1, Nikiforou Foka, Nicosia, Cyprus","Jun 30"
"http://allevents.in/Nicosia","https://cdn5.allevents.in/images/dates/16-JUL_200x200.jpg","Klimaxx Canteen in Nicosia Cyprus","Klimaxx @ Canteen in Nicosia, Cyprus","http://allevents.in/nicosia/klimaxx-canteen-in-nicosia-cyprus/496919120511295","Nicosia, Cyprus","Jul 16"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/05f3669ae7b0f32f9da6ef4b460fdf48","Wing Chun Evolution Seminar","Wing Chun Evolution Seminar","http://allevents.in/nicosia/wing-chun-evolution-seminar/273921502962670","Peace By Praxis - Applied Meditation Arts, Nicosia, Cyprus","Jul 09"
"http://allevents.in/Nicosia","https://cdn5.allevents.in/images/dates/30-JUN_200x200.jpg","Dimitris Mylis Tafjak in Nicosia Cyprus","Dimitris Mylis @ Tafjak in Nicosia, Cyprus","http://allevents.in/nicosia/dimitris-mylis-tafjak-in-nicosia-cyprus/1207319522612179","Nicosia, Cyprus","Jun 30"
"http://allevents.in/Nicosia","https://cdn5.allevents.in/images/dates/20-JUL_200x200.jpg","mononome Notes & Spirits in Nicosia Cyprus","mononome @ Notes & Spirits in Nicosia, Cyprus","http://allevents.in/nicosia/mononome-notes-and-spirits-in-nicosia-cyprus/990002001114299","Nicosia, Cyprus","Jul 20"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/467b2affeab2cbb609fe1b738c0631ca","Yoga Anatomy training Cyprus","Yoga Anatomy training Cyprus","http://allevents.in/nicosia/yoga-anatomy-training-cyprus/1690236807903363","YOGA Europe WYA, 9 Stasandrou street Flat 301 & 302, Nicosia, Cyprus","Jul 08"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/04814024bda28fada69d0a6c04221382","Cyprus Regional Training July 9th 2016","Cyprus Regional Training July 9th 2016","http://allevents.in/nicosia/cyprus-regional-training-july-9th-2016/1585756878384262","Filoxenia CONFERENCE CENTER, Nicosia, Cyprus","Jul 09"
"http://allevents.in/Nicosia","https://eventsimg.blob.core.windows.net/banners/dce44bb7c5e038e2d0e1595bce320287","4 Hour workshop with Sir Anthony Hopkins.","4 Hour workshop with Sir Anthony Hopkins.","http://allevents.in/nicosia/4-hour-workshop-with-sir-anthony-hopkins/1633492106865380","Hilton Park Nicosia, Griva Dighenis Avenue, Nicosia, Cyprus","Aug 01"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/2f89c9720c5e23a15619ac608800fa36","4th International Conference of Photography & Theory Icpt2016 Photography & the Everyday","4th International Conference of Photography & Theory Icpt2016: Photography & the Everyday","http://allevents.in/nicosia/4th-international-conference-of-photography-and-theory-icpt2016-photography-and-the-everyday/1528213774138547","Nicosia Municipal Arts Centre [NiMac], Nicosia","Dec 02"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/1c2fe53c1af9b4c5841b9ecbda13fe37","9th CyDNA Conference with CySPEN Particiaption","9th CyDNA Conference with CySPEN Particiaption","http://allevents.in/nicosia/9th-cydna-conference-with-cyspen-particiaption/1517599485216145","Hilton Cyprus, 98 Archbishop Makarios III Avenue, Nicosia, Cyprus","Dec 01"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/a2b0d229ee9992bafd8b458a8614408b","20th Annual Conference Power to the People - Celebrating 20 years of the strength within","20th Annual Conference “Power to the People - Celebrating 20 years of the strength within”","http://allevents.in/nicosia/20th-annual-conference-%E2%80%9Cpower-to-the-people-celebrating-20-years-of-the-strength-within%E2%80%9D/587214221448332","Nicosia, Cyprus","Oct 19"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/aafeac228eb241cebf7839c95c66eca4","The Mind Body & Spirit Festival Nicosia 2016","The Mind, Body & Spirit Festival, Nicosia 2016","http://allevents.in/nicosia/the-mind-body-and-spirit-festival-nicosia-2016/1761591394075578","Filoxenia CONFERENCE CENTER, Nicosia, Cyprus","Nov 12"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/729f6cb6cb2a6f780c36bd8151eb68ee","MED Business Expo 2016","MED Business Expo 2016","http://allevents.in/nicosia/med-business-expo-2016/1694452350794088","Filoxenia CONFERENCE CENTER, Nicosia, Cyprus","Oct 21"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/193a3c349d74ab486109dbfa690816d1","3x3","Λάρνακα ΟΠΑΠ 3x3","http://allevents.in/nicosia/%CE%9B%CE%AC%CF%81%CE%BD%CE%B1%CE%BA%CE%B1-%CE%9F%CE%A0%CE%91%CE%A0-3x3/630029020486705","Larnaca Φοινικουδες, Nicosia, Cyprus","Jul 09"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/e0042394458c8bcca9e498d74204f753","FIBA U16 European Championship 2016 Division C","FIBA U16 European Championship 2016 Division C","http://allevents.in/nicosia/fiba-u16-european-championship-2016-division-c/1804836156415524","Nicosia, Cyprus","Jul 12"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/1f443b69b745083424e9acf71c322786","SCANNER LIVE Power of the Night Festival XI","SCANNER LIVE: Power of the Night Festival XI","http://allevents.in/nicosia/scanner-live-power-of-the-night-festival-xi/480061488852680","@Camelot Park, Nicosia, Cyprus","Jul 21"
"http://allevents.in/Nicosia","https://graph.facebook.com/134174140335225/picture?type=large","NEW TRX Suspension Training Course (STC) Level 1","NEW! TRX Suspension Training Course (STC) Level 1","http://allevents.in/nicosia/new-trx-suspension-training-course-stc-level-1/134174140335225","CrossFit REVOLT, 20 Vithleem, Nicosia, Cyprus","Jul 24"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/f8d2cf7defea231f6ea1a7270540f93f","Game On Ledras Gaming Bazaar & SFV Tournament","Game On Ledras Gaming Bazaar & SFV Tournament","http://allevents.in/lefko%C5%9Fa/game-on-ledras-gaming-bazaar-and-sfv-tournament/135900470152417","Ledras Street, Nicosia, Lefkoşa","Jul 03"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/29d9042422da08c7aaf3a65c0393fdd1","Cyprus Tango Marathon Embracing Aphrodite at Historical Bedesten","Cyprus Tango Marathon 'Embracing Aphrodite' at Historical Bedesten","http://allevents.in/nicosia/cyprus-tango-marathon-embracing-aphrodite-at-historical-bedesten/886643708097657","Bedesten, Nicosia","Sep 30"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/b807596fa9f2d9bd3f0d494879195a85","I Can","I Can","http://allevents.in/nicosia/i-can/1715353172037526","Cyprus, Nicosia, Cyprus","Dec 12"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/5790beb6c55c28fb36353fb0b07208e8","2x2 Friday FIFA Championship Nicosia","2x2 Friday FIFA Championship Nicosia","http://allevents.in/nicosia/2x2-friday-fifa-championship-nicosia/1727839740817552","Starbucks, Griva Digeni & 48 Themistokli Dervie Str,., Nicosia, Cyprus","Jul 15"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/b7d8fd2434052138cc5ca48753c51693","Yaala Ballin Jazz Vocal Workshop","Yaala Ballin Jazz Vocal Workshop","http://allevents.in/egkomi/yaala-ballin-jazz-vocal-workshop/1732547550366984","University of Nicosia, Research and Technology Building, Egkomi, Cipru","Jul 01"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/f65688acc919252ecb3bbe413a2e52d5","Echo Presents Vagia Thursday 30 June Starts at 2200","Echo Presents Vagia Thursday 30 June Starts at 22:00","http://allevents.in/nicosia/echo-presents-vagia-thursday-30-june-starts-at-22-00/243469029371330","Echo, Leoforos Evagorou A. 9, Nicosia, Cyprus, Nicosia, Cyprus","Jun 30"
"http://allevents.in/Nicosia","https://cdn5.allevents.in/images/dates/16-JUL_200x200.jpg","Klimaxx Canteen in Nicosia Cyprus","Klimaxx @ Canteen in Nicosia, Cyprus","http://allevents.in/nicosia/klimaxx-canteen-in-nicosia-cyprus/496919120511295","Nicosia, Cyprus","Jul 16"
"http://allevents.in/Nicosia","https://cdn5.allevents.in/images/dates/30-JUN_200x200.jpg","Dimitris Mylis Tafjak in Nicosia Cyprus","Dimitris Mylis @ Tafjak in Nicosia, Cyprus","http://allevents.in/nicosia/dimitris-mylis-tafjak-in-nicosia-cyprus/1207319522612179","Nicosia, Cyprus","Jun 30"
"http://allevents.in/Nicosia","https://cdn5.allevents.in/images/dates/20-JUL_200x200.jpg","mononome Notes & Spirits in Nicosia Cyprus","mononome @ Notes & Spirits in Nicosia, Cyprus","http://allevents.in/nicosia/mononome-notes-and-spirits-in-nicosia-cyprus/990002001114299","Nicosia, Cyprus","Jul 20"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/4ea588e22e5a94af762f67625e9e8353","Milonga Tango Del Encanto Seminar","Milonga Tango Del Encanto + Seminar","http://allevents.in/nicosia/milonga-tango-del-encanto-seminar/286926628364038","Semeli Hotel, 10 Petraki Giallourou, Nicosia, Cyprus","Jul 02"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/dc059462f2442ccaaa041f9901edcf13","Cyprus Deputy District Governor Handover Ceremony","Cyprus Deputy District Governor Handover Ceremony","http://allevents.in/nicosia/cyprus-deputy-district-governor-handover-ceremony/624778767686500","Cleopatra Hotel, 8 Florinis Street, Nicosia, Cyprus","Jul 14"
"http://allevents.in/Nicosia","https://cdn-az.allevents.in/banners/833b17be759b2c43cf5c47cdd713a7a4","NDCs annual showcase &quotON AIR""","NDC's annual showcase ""ON AIR""","http://allevents.in/nicosia/ndcs-annual-showcase-on-air/978184732301723","Strovolos Municipal Theatre, Nicosia, Cyprus","Jul 04"
